"","cohort","Ri","Rc","varRc","RcSS","cumden"
"1",0,1.4999999985,1.49999461509137,2.24973008678495,4.49971393208804,1.00000009108955
"2",0.00763118,1.4999999984828,1.49999462623335,2.24973072303373,4.49971460176266,1.00000009091358
"3",0.01526236,1.49999999846553,1.49999464405122,2.24973170343663,4.49971563561898,1.00000009062152
"4",0.02289354,1.49999999844819,1.49999466851556,2.24973302624966,4.49971703182476,1.00000009021384
"5",0.03052472,1.49999999843079,1.49999469958495,2.24973468910797,4.49971878789091,1.00000008969118
"6",0.0381559,1.49999999841333,1.49999473720864,2.24973668916902,4.49972090082262,1.00000008905434
"7",0.04578708,1.49999999839579,1.49999478132528,2.24973902304616,4.49972336704922,1.00000008830434
"8",0.05341826,1.49999999837819,1.4999948318651,2.24974168692182,4.49972618254382,1.00000008744232
"9",0.06104944,1.49999999836052,1.49999488874754,2.24974467642534,4.49972934269409,1.00000008646961
"10",0.06868062,1.49999999834278,1.49999495188354,2.24974798675111,4.49973284242721,1.00000008538769
"11",0.0763118,1.49999999832498,1.49999502117461,2.24975161261444,4.49973667616305,1.00000008419822
"12",0.08394298,1.49999999830711,1.49999509651399,2.24975554830597,4.49974083787199,1.00000008290298
"13",0.09157416,1.49999999828917,1.4999951777874,2.24975978773711,4.49974532112257,1.00000008150391
"14",0.09920534,1.49999999827116,1.49999526487279,2.24976432442396,4.49975011906475,1.00000008000306
"15",0.10683652,1.49999999825308,1.49999535763958,2.24976915144561,4.49975522438588,1.00000007840266
"16",0.1144677,1.49999999823493,1.49999545595173,2.24977426161346,4.4997606294893,1.00000007670501
"17",0.12209888,1.49999999821672,1.49999555966664,2.24977964740219,4.49976632642184,1.00000007491253
"18",0.12973006,1.49999999819843,1.49999566863531,2.24978530096338,4.49977230688807,1.00000007302777
"19",0.13736124,1.49999999818008,1.4999957827038,2.24979121420544,4.49977856233464,1.00000007105336
"20",0.14499242,1.49999999816165,1.49999590171338,2.24979737879551,4.49978508395244,1.00000006899201
"21",0.1526236,1.49999999814315,1.49999602550093,2.24980378618244,4.49979186270103,1.00000006684651
"22",0.16025478,1.49999999812459,1.49999615389973,2.24981042763851,4.49979888935248,1.00000006461972
"23",0.16788596,1.49999999810595,1.49999628673841,2.24981729420156,4.49980615443058,1.00000006231457
"24",0.17551714,1.49999999808724,1.49999642384458,2.24982437687034,4.49981364841687,1.00000005993404
"25",0.18314832,1.49999999806846,1.49999656504247,2.24983166647335,4.49982136161256,1.00000005748115
"26",0.1907795,1.49999999804961,1.49999671015437,2.2498391537485,4.49982928422244,1.00000005495894
"27",0.19841068,1.49999999803068,1.49999685900183,2.2498468294047,4.49983740642004,1.0000000523705
"28",0.20604186,1.49999999801168,1.49999701140547,2.24985468411343,4.49984571833878,1.00000004971892
"29",0.21367304,1.49999999799261,1.4999971671842,2.24986270846039,4.49985421002102,1.00000004700733
"30",0.22130422,1.49999999797347,1.4999973261586,2.24987089313121,4.49986287161415,1.00000004423882
"31",0.2289354,1.49999999795426,1.49999748814895,2.2498792288028,4.49987169325595,1.00000004141649
"32",0.23656658,1.49999999793497,1.4999976529761,2.24988770618838,4.49988066512219,1.00000003854346
"33",0.24419776,1.4999999979156,1.49999782046211,2.2498963160707,4.49988977746177,1.00000003562279
"34",0.25182894,1.49999999789617,1.49999799043077,2.24990504933184,4.49989902062819,1.00000003265754
"35",0.25946012,1.49999999787666,1.49999816270849,2.24991389699463,4.49990838512348,1.00000002965072
"36",0.2670913,1.49999999785707,1.49999833712253,2.24992285013252,4.49991786150286,1.00000002660533
"37",0.27472248,1.49999999783741,1.49999851350326,2.24993189998813,4.49992744050012,1.0000000235243
"38",0.28235366,1.49999999781767,1.4999986916842,2.24994103797188,4.49993711302618,1.00000002041054
"39",0.28998484,1.49999999779786,1.49999887150135,2.24995025562741,4.49994687013272,1.00000001726689
"40",0.29761602,1.49999999777797,1.49999905279438,2.24995954469694,4.49995670308097,1.00000001409614
"41",0.3052472,1.49999999775801,1.4999992354059,2.24996889707725,4.49996660329553,1.00000001090102
"42",0.31287838,1.49999999773797,1.49999941918298,2.2499783049025,4.49997656245176,1.00000000768422
"43",0.32050956,1.49999999771786,1.49999960397566,2.24998776046405,4.49998657239119,1.00000000444832
"44",0.32814074,1.49999999769766,1.49999978963881,2.24999725630849,4.49999662522496,1.00000000119588
"45",0.33577192,1.49999999767739,1.49999997603049,2.25000678515094,4.5000067132424,0.999999997929362
"46",0.3434031,1.49999999765704,1.50000016301398,2.2500163399816,4.50001682902358,0.999999994651157
"47",0.35103428,1.49999999763662,1.5000003504562,2.25002591398029,4.50002696534902,0.99999999136359
"48",0.35866546,1.49999999761612,1.50000053822857,2.25003550056331,4.50003711524931,0.99999998806891
"49",0.36629664,1.49999999759553,1.50000072620708,2.25004509338957,4.50004727201135,0.999999984769289
"50",0.37392782,1.49999999757487,1.50000091427152,2.25005468631204,4.50005742912745,0.999999981466831
"51",0.381559,1.49999999755413,1.50000110230753,2.25006427349295,4.50006758041676,0.999999978163541
"52",0.38919018,1.49999999753331,1.50000129020371,2.25007384924584,4.50007771985863,0.999999974861373
"53",0.39682136,1.49999999751242,1.50000147785427,2.25008340818152,4.50008784174652,0.999999971562186
"54",0.40445254,1.49999999749144,1.50000166515707,2.25009294509597,4.50009794056996,0.999999968267773
"55",0.41208372,1.49999999747038,1.50000185201542,2.25010245507186,4.50010801112155,0.999999964979835
"56",0.4197149,1.49999999744924,1.50000203833559,2.25011193334484,4.50011804835575,0.999999961700022
"57",0.42734608,1.49999999742802,1.50000222402984,2.25012137546193,4.50012804755639,0.999999958429881
"58",0.43497726,1.49999999740672,1.50000240901365,2.25013077713618,4.50013800418293,0.999999955170902
"59",0.44260844,1.49999999738534,1.50000259320664,2.25014013429719,4.50014791392383,0.999999951924504
"60",0.45023962,1.49999999736387,1.50000277653329,2.25014944312489,4.50015777273246,0.999999948692022
"61",0.4578708,1.49999999734233,1.50000295892174,2.25015869998965,4.50016757676362,0.999999945474727
"62",0.46550198,1.4999999973207,1.50000314030416,2.25016790147146,4.50017732239381,0.999999942273822
"63",0.47313316,1.49999999729899,1.50000332061641,2.25017704433688,4.50018700619714,0.999999939090445
"64",0.48076434,1.49999999727719,1.50000349979894,2.25018612559434,4.5001966250034,0.999999935925653
"65",0.48839552,1.49999999725531,1.50000367779472,2.2501951423787,4.50020617577638,0.999999932780462
"66",0.4960267,1.49999999723335,1.50000385455101,2.25020409204951,4.50021565571741,0.999999929655811
"67",0.50365788,1.49999999721131,1.50000403001874,2.25021297215359,4.50022506222605,0.999999926552575
"68",0.51128906,1.49999999718918,1.50000420415191,2.25022178039508,4.50023439286849,0.999999923471579
"69",0.51892024,1.49999999716696,1.50000437690745,2.25023051463049,4.50024364537199,0.999999920413593
"70",0.52655142,1.49999999714467,1.50000454824632,2.25023917292402,4.50025281768368,0.99999991737932
"71",0.5341826,1.49999999712228,1.50000471813183,2.25024775345847,4.50026190787621,0.999999914369419
"72",0.54181378,1.49999999709981,1.50000488653055,2.25025625458594,4.50027091420148,0.999999911384495
"73",0.54944496,1.49999999707726,1.50000505341241,2.25026467483193,4.50027983509471,0.999999908425092
"74",0.55707614,1.49999999705461,1.50000521874854,2.25027301277859,4.50028866905145,0.999999905491736
"75",0.56470732,1.49999999703189,1.50000538251409,2.25028126721905,4.50029741479028,0.999999902584879
