"","cohort","Ri","Rc","varRc","RcSS","cumden"
"1",0,1.4999999985,1.49999429484866,2.24969400767036,4.49967689224889,1.00000009108955
"2",0.00763118,1.4999999984828,1.49999430660933,2.24969472093856,4.49967764079896,1.00000009091358
"3",0.01526236,1.49999999846553,1.49999432545396,2.24969582428869,4.49967880068277,1.00000009062152
"4",0.02289354,1.49999999844819,1.49999435135159,2.24969731577406,4.49968036986074,1.00000009021384
"5",0.03052472,1.49999999843079,1.4999943842585,2.24969919274419,4.49968234555124,1.00000008969118
"6",0.0381559,1.49999999841333,1.4999944241211,2.24970145200683,4.49968472440121,1.00000008905434
"7",0.04578708,1.49999999839579,1.49999447087451,2.24970408975275,4.49968750240684,1.00000008830434
"8",0.05341826,1.49999999837819,1.49999452444494,2.2497071016839,4.49969067504869,1.00000008744232
"9",0.06104944,1.49999999836052,1.49999458474713,2.24971048287485,4.49969423714557,1.00000008646961
"10",0.06868062,1.49999999834278,1.49999465168682,2.24971422790666,4.49969818299571,1.00000008538769
"11",0.0763118,1.49999999832498,1.49999472515971,2.24971833081676,4.49970250632372,1.00000008419822
"12",0.08394298,1.49999999830711,1.49999480505275,2.24972278516062,4.49970720034585,1.00000008290298
"13",0.09157416,1.49999999828917,1.49999489124486,2.24972758406311,4.49971225782379,1.00000008150391
"14",0.09920534,1.49999999827116,1.49999498360675,2.24973272020028,4.4997176710457,1.00000008000306
"15",0.10683652,1.49999999825308,1.49999508200006,2.24973818575202,4.4997234317764,1.00000007840266
"16",0.1144677,1.49999999823493,1.49999518628064,2.24974397259393,4.49972953145903,1.00000007670501
"17",0.12209888,1.49999999821672,1.49999529629735,2.24975007221905,4.49973596113321,1.00000007491253
"18",0.12973006,1.49999999819843,1.49999541189224,2.24975647575323,4.49974271145099,1.00000007302777
"19",0.13736124,1.49999999818008,1.49999553290215,2.2497631740457,4.49974977277212,1.00000007105336
"20",0.14499242,1.49999999816165,1.4999956591588,2.24977015767122,4.49975713516648,1.00000006899201
"21",0.1526236,1.49999999814315,1.49999579048928,2.24977741695609,4.49976478844165,1.00000006684651
"22",0.16025478,1.49999999812459,1.49999592671679,2.24978494202538,4.49977272219233,1.00000006461972
"23",0.16788596,1.49999999810595,1.49999606765963,2.24979272273739,4.49978092573175,1.00000006231457
"24",0.17551714,1.49999999808724,1.49999621313501,2.24980074890497,4.49978938832435,1.00000005993404
"25",0.18314832,1.49999999806846,1.49999636295653,2.24980901014693,4.49979809902975,1.00000005748115
"26",0.1907795,1.49999999804961,1.49999651693572,2.2498174959783,4.49980704679759,1.00000005495894
"27",0.19841068,1.49999999803068,1.49999667488333,2.2498261958801,4.49981622054114,1.0000000523705
"28",0.20604186,1.49999999801168,1.49999683660911,2.2498350992899,4.49982560912722,1.00000004971892
"29",0.21367304,1.49999999799261,1.49999700192096,2.24984419554685,4.49983520131872,1.00000004700733
"30",0.22130422,1.49999999797347,1.49999717062859,2.24985347410237,4.49984498599614,1.00000004423882
"31",0.2289354,1.49999999795426,1.49999734254136,2.2498629243969,4.49985495202803,1.00000004141649
"32",0.23656658,1.49999999793497,1.49999751746921,2.24987253591099,4.49986508832479,1.00000003854346
"33",0.24419776,1.4999999979156,1.49999769522338,2.24988229820298,4.49987538387844,1.00000003562279
"34",0.25182894,1.49999999789617,1.49999787561695,2.24989220094277,4.49988582779813,1.00000003265754
"35",0.25946012,1.49999999787666,1.49999805846571,2.2499022339589,4.49989640935981,1.00000002965072
"36",0.2670913,1.49999999785707,1.49999824358641,2.24991238713626,4.49990711789859,1.00000002660533
"37",0.27472248,1.49999999783741,1.49999843079908,2.24992265055058,4.49991794295028,1.0000000235243
"38",0.28235366,1.49999999781767,1.49999861992705,2.24993301446692,4.49992887424998,1.00000002041054
"39",0.28998484,1.49999999779786,1.49999881079631,2.24994346930052,4.49993990169085,1.00000001726689
"40",0.29761602,1.49999999777797,1.49999900323672,2.24995400569082,4.49995101540198,1.00000001409614
"41",0.3052472,1.49999999775801,1.49999919708127,2.24996461445169,4.49996220569614,1.00000001090102
"42",0.31287838,1.49999999773797,1.49999939216765,2.24997528666535,4.49997346316867,1.00000000768422
"43",0.32050956,1.49999999771786,1.49999958833673,2.24998601359143,4.49998477860179,1.00000000444832
"44",0.32814074,1.49999999769766,1.49999978543446,2.24999678677825,4.49999614308167,1.00000000119588
"45",0.33577192,1.49999999767739,1.49999998331021,2.25000759796443,4.50000754789505,0.999999997929362
"46",0.3434031,1.49999999765704,1.50000018181886,2.25001843919986,4.50001898465649,0.999999994651157
"47",0.35103428,1.49999999763662,1.50000038081915,2.25002930274877,4.50003044520637,0.99999999136359
"48",0.35866546,1.49999999761612,1.50000058017459,2.25004018114292,4.50004192166703,0.99999998806891
"49",0.36629664,1.49999999759553,1.50000077975356,2.25005106718853,4.50005340644981,0.999999984769289
"50",0.37392782,1.49999999757487,1.50000097942842,2.25006195391132,4.50006489219754,0.999999981466831
"51",0.381559,1.49999999755413,1.50000117907777,2.25007283468723,4.50007637192194,0.999999978163541
